NAME,TBNAME,TBCREATOR
APPID,AUDIT,AUDIT   
APPNAME,AUDIT,AUDIT   
ARCHIVEPATH,AUDIT,AUDIT   
AUDITSTATUS,AUDIT,AUDIT   
AUTHID,AUDIT,AUDIT   
CATEGORY,AUDIT,AUDIT   
CHECKINGSTATUS,AUDIT,AUDIT   
CLNTACCSTRING,AUDIT,AUDIT   
CLNTAPPNAME,AUDIT,AUDIT   
CLNTUSERID,AUDIT,AUDIT   
CLNTWRKSTNAME,AUDIT,AUDIT   
CONTEXTSTATUS,AUDIT,AUDIT   
CONTRSTTYPE,AUDIT,AUDIT   
COORDNUM,AUDIT,AUDIT   
CORRELATOR,AUDIT,AUDIT   
DATABASE,AUDIT,AUDIT   
DATAPATH,AUDIT,AUDIT   
ERRORTYPE,AUDIT,AUDIT   
EVENT,AUDIT,AUDIT   
EXECUTEDATA,AUDIT,AUDIT   
EXECUTESTATUS,AUDIT,AUDIT   
GLBLTRANSID,AUDIT,AUDIT   
HOSTNAME,AUDIT,AUDIT   
INSTNAME,AUDIT,AUDIT   
LCLTRANSID,AUDIT,AUDIT   
NODENUM,AUDIT,AUDIT   
OBJMAINTSTATUS,AUDIT,AUDIT   
ORIGUSERID,AUDIT,AUDIT   
PKGNAME,AUDIT,AUDIT   
PKGSCHEMA,AUDIT,AUDIT   
PKGSECNUM,AUDIT,AUDIT   
PKGVER,AUDIT,AUDIT   
POLASSOCNAME,AUDIT,AUDIT   
POLASSOCOBJSCHEMA,AUDIT,AUDIT   
POLASSOCOBJTYPE,AUDIT,AUDIT   
POLASSOCSUBOBJTYPE,AUDIT,AUDIT   
POLNAME,AUDIT,AUDIT   
ROLEINHERITED,AUDIT,AUDIT   
SECMAINTSTATUS,AUDIT,AUDIT   
STATUS,AUDIT,AUDIT   
SYSADMINSTATUS,AUDIT,AUDIT   
TIMESTAMP,AUDIT,AUDIT   
TRSTCTXNAME,AUDIT,AUDIT   
USERID,AUDIT,AUDIT   
VALIDATESTATUS,AUDIT,AUDIT   
ACCESSAPP,CHECKING,AUDIT   
ACCESSATT,CHECKING,AUDIT   
APPID,CHECKING,AUDIT   
APPNAME,CHECKING,AUDIT   
AUTHID,CHECKING,AUDIT   
CATEGORY,CHECKING,AUDIT   
CHKAUTHID,CHECKING,AUDIT   
CLNTACCSTRING,CHECKING,AUDIT   
CLNTAPPNAME,CHECKING,AUDIT   
CLNTUSERID,CHECKING,AUDIT   
CLNTWRKSTNAME,CHECKING,AUDIT   
CONTRSTTYPE,CHECKING,AUDIT   
COORDNUM,CHECKING,AUDIT   
CORRELATOR,CHECKING,AUDIT   
DATABASE,CHECKING,AUDIT   
EVENT,CHECKING,AUDIT   
GLBLTRANSID,CHECKING,AUDIT   
HOSTNAME,CHECKING,AUDIT   
INSTNAME,CHECKING,AUDIT   
LCLTRANSID,CHECKING,AUDIT   
NODENUM,CHECKING,AUDIT   
OBJNAME,CHECKING,AUDIT   
OBJSCHEMA,CHECKING,AUDIT   
OBJTYPE,CHECKING,AUDIT   
ORIGUSERID,CHECKING,AUDIT   
PKGNAME,CHECKING,AUDIT   
PKGSCHEMA,CHECKING,AUDIT   
PKGSECNUM,CHECKING,AUDIT   
PKGVER,CHECKING,AUDIT   
ROLEINHERITED,CHECKING,AUDIT   
STATUS,CHECKING,AUDIT   
TIMESTAMP,CHECKING,AUDIT   
TRSTCTXNAME,CHECKING,AUDIT   
USERID,CHECKING,AUDIT   
APPID,CONTEXT,AUDIT   
APPNAME,CONTEXT,AUDIT   
AUTHID,CONTEXT,AUDIT   
CATEGORY,CONTEXT,AUDIT   
CLNTACCSTRING,CONTEXT,AUDIT   
CLNTAPPNAME,CONTEXT,AUDIT   
CLNTUSERID,CONTEXT,AUDIT   
CLNTWRKSTNAME,CONTEXT,AUDIT   
CONTRSTTYPE,CONTEXT,AUDIT   
COORDNUM,CONTEXT,AUDIT   
CORRELATOR,CONTEXT,AUDIT   
DATABASE,CONTEXT,AUDIT   
EVENT,CONTEXT,AUDIT   
GLBLTRANSID,CONTEXT,AUDIT   
HOSTNAME,CONTEXT,AUDIT   
INSTNAME,CONTEXT,AUDIT   
LCLTRANSID,CONTEXT,AUDIT   
NODENUM,CONTEXT,AUDIT   
ORIGUSERID,CONTEXT,AUDIT   
PKGNAME,CONTEXT,AUDIT   
PKGSCHEMA,CONTEXT,AUDIT   
PKGSECNUM,CONTEXT,AUDIT   
PKGVER,CONTEXT,AUDIT   
ROLEINHERITED,CONTEXT,AUDIT   
STMTTEXT,CONTEXT,AUDIT   
TIMESTAMP,CONTEXT,AUDIT   
TRSTCTXNAME,CONTEXT,AUDIT   
USERID,CONTEXT,AUDIT   
ACTIVITYID,EXECUTE,AUDIT   
ACTIVITYTYPE,EXECUTE,AUDIT   
APPID,EXECUTE,AUDIT   
APPNAME,EXECUTE,AUDIT   
AUTHID,EXECUTE,AUDIT   
CATEGORY,EXECUTE,AUDIT   
CLNTACCSTRING,EXECUTE,AUDIT   
CLNTAPPNAME,EXECUTE,AUDIT   
CLNTUSERID,EXECUTE,AUDIT   
CLNTWRKSTNAME,EXECUTE,AUDIT   
COMPENVDESC,EXECUTE,AUDIT   
CONTRSTTYPE,EXECUTE,AUDIT   
COORDNUM,EXECUTE,AUDIT   
CORRELATOR,EXECUTE,AUDIT   
DATABASE,EXECUTE,AUDIT   
EVENT,EXECUTE,AUDIT   
GLBLTRANSID,EXECUTE,AUDIT   
HOSTNAME,EXECUTE,AUDIT   
INSTNAME,EXECUTE,AUDIT   
LCLTRANSID,EXECUTE,AUDIT   
LOCAL_START_TIME,EXECUTE,AUDIT   
NODENUM,EXECUTE,AUDIT   
ORIGUSERID,EXECUTE,AUDIT   
PKGNAME,EXECUTE,AUDIT   
PKGSCHEMA,EXECUTE,AUDIT   
PKGSECNUM,EXECUTE,AUDIT   
PKGVER,EXECUTE,AUDIT   
ROLEINHERITED,EXECUTE,AUDIT   
ROWSMODIFIED,EXECUTE,AUDIT   
ROWSRETURNED,EXECUTE,AUDIT   
SAVEPOINTID,EXECUTE,AUDIT   
SESSNAUTHID,EXECUTE,AUDIT   
STATUS,EXECUTE,AUDIT   
STMTINVOCID,EXECUTE,AUDIT   
STMTISOLATIONLVL,EXECUTE,AUDIT   
STMTNESTLVL,EXECUTE,AUDIT   
STMTTEXT,EXECUTE,AUDIT   
STMTVALDATA,EXECUTE,AUDIT   
STMTVALEXTENDEDINDICATOR,EXECUTE,AUDIT   
STMTVALINDEX,EXECUTE,AUDIT   
STMTVALTYPE,EXECUTE,AUDIT   
TIMESTAMP,EXECUTE,AUDIT   
TRSTCTXNAME,EXECUTE,AUDIT   
UOWID,EXECUTE,AUDIT   
USERID,EXECUTE,AUDIT   
ACCESSCONTROL,OBJMAINT,AUDIT   
ALTERACTION,OBJMAINT,AUDIT   
APPID,OBJMAINT,AUDIT   
APPNAME,OBJMAINT,AUDIT   
ASSOCOBJNAME,OBJMAINT,AUDIT   
ASSOCOBJSCHEMA,OBJMAINT,AUDIT   
ASSOCOBJTYPE,OBJMAINT,AUDIT   
ASSOCSUBOBJNAME,OBJMAINT,AUDIT   
ASSOCSUBOBJTYPE,OBJMAINT,AUDIT   
AUTHID,OBJMAINT,AUDIT   
CATEGORY,OBJMAINT,AUDIT   
CLNTACCSTRING,OBJMAINT,AUDIT   
CLNTAPPNAME,OBJMAINT,AUDIT   
CLNTUSERID,OBJMAINT,AUDIT   
CLNTWRKSTNAME,OBJMAINT,AUDIT   
COLSECLABEL,OBJMAINT,AUDIT   
CONTRSTTYPE,OBJMAINT,AUDIT   
COORDNUM,OBJMAINT,AUDIT   
CORRELATOR,OBJMAINT,AUDIT   
DATABASE,OBJMAINT,AUDIT   
EVENT,OBJMAINT,AUDIT   
GLBLTRANSID,OBJMAINT,AUDIT   
HOSTNAME,OBJMAINT,AUDIT   
INSTNAME,OBJMAINT,AUDIT   
LCLTRANSID,OBJMAINT,AUDIT   
MODULENAME,OBJMAINT,AUDIT   
NODENUM,OBJMAINT,AUDIT   
OBJNAME,OBJMAINT,AUDIT   
OBJSCHEMA,OBJMAINT,AUDIT   
OBJTYPE,OBJMAINT,AUDIT   
ORIGUSERID,OBJMAINT,AUDIT   
PACKVER,OBJMAINT,AUDIT   
PKGNAME,OBJMAINT,AUDIT   
PKGSCHEMA,OBJMAINT,AUDIT   
PKGSECNUM,OBJMAINT,AUDIT   
PROTCOLNAME,OBJMAINT,AUDIT   
ROLEINHERITED,OBJMAINT,AUDIT   
SECCOLNAME,OBJMAINT,AUDIT   
SECPOLNAME,OBJMAINT,AUDIT   
SECURED,OBJMAINT,AUDIT   
STATE,OBJMAINT,AUDIT   
STATUS,OBJMAINT,AUDIT   
TIMESTAMP,OBJMAINT,AUDIT   
TRSTCTXNAME,OBJMAINT,AUDIT   
USERID,OBJMAINT,AUDIT   
ACCESSCONTROL,SECMAINT,AUDIT   
ACCESSTYPE,SECMAINT,AUDIT   
ALTERACTION,SECMAINT,AUDIT   
APPID,SECMAINT,AUDIT   
APPNAME,SECMAINT,AUDIT   
ASSOCOBJNAME,SECMAINT,AUDIT   
ASSOCOBJSCHEMA,SECMAINT,AUDIT   
ASSOCOBJTYPE,SECMAINT,AUDIT   
ASSOCSUBOBJNAME,SECMAINT,AUDIT   
ASSOCSUBOBJTYPE,SECMAINT,AUDIT   
ASSUMEAUTHID,SECMAINT,AUDIT   
AUTHID,SECMAINT,AUDIT   
CATEGORY,SECMAINT,AUDIT   
CLNTACCSTRING,SECMAINT,AUDIT   
CLNTAPPNAME,SECMAINT,AUDIT   
CLNTUSERID,SECMAINT,AUDIT   
CLNTWRKSTNAME,SECMAINT,AUDIT   
CONTRSTTYPE,SECMAINT,AUDIT   
COORDNUM,SECMAINT,AUDIT   
CORRELATOR,SECMAINT,AUDIT   
DATABASE,SECMAINT,AUDIT   
EVENT,SECMAINT,AUDIT   
GLBLTRANSID,SECMAINT,AUDIT   
GRANTEE,SECMAINT,AUDIT   
GRANTEETYPE,SECMAINT,AUDIT   
GRANTOR,SECMAINT,AUDIT   
GRANTORTYPE,SECMAINT,AUDIT   
HOSTNAME,SECMAINT,AUDIT   
INSTNAME,SECMAINT,AUDIT   
LCLTRANSID,SECMAINT,AUDIT   
NODENUM,SECMAINT,AUDIT   
OBJNAME,SECMAINT,AUDIT   
OBJSCHEMA,SECMAINT,AUDIT   
OBJTYPE,SECMAINT,AUDIT   
ORIGUSERID,SECMAINT,AUDIT   
PKGNAME,SECMAINT,AUDIT   
PKGSCHEMA,SECMAINT,AUDIT   
PKGSECNUM,SECMAINT,AUDIT   
PKGVER,SECMAINT,AUDIT   
PRIVAUTH,SECMAINT,AUDIT   
ROLEINHERITED,SECMAINT,AUDIT   
SECURED,SECMAINT,AUDIT   
STATE,SECMAINT,AUDIT   
STATUS,SECMAINT,AUDIT   
TIMESTAMP,SECMAINT,AUDIT   
TRSTCTXNAME,SECMAINT,AUDIT   
TRSTCTXUSER,SECMAINT,AUDIT   
TRSTCTXUSERAUTH,SECMAINT,AUDIT   
USERID,SECMAINT,AUDIT   
APPID,SYSADMIN,AUDIT   
APPNAME,SYSADMIN,AUDIT   
AUTHID,SYSADMIN,AUDIT   
CATEGORY,SYSADMIN,AUDIT   
CLNTACCSTRING,SYSADMIN,AUDIT   
CLNTAPPNAME,SYSADMIN,AUDIT   
CLNTUSERID,SYSADMIN,AUDIT   
CLNTWRKSTNAME,SYSADMIN,AUDIT   
CONTRSTTYPE,SYSADMIN,AUDIT   
COORDNUM,SYSADMIN,AUDIT   
CORRELATOR,SYSADMIN,AUDIT   
DATABASE,SYSADMIN,AUDIT   
EVENT,SYSADMIN,AUDIT   
EVENTDETAILS,SYSADMIN,AUDIT   
GLBLTRANSID,SYSADMIN,AUDIT   
HOSTNAME,SYSADMIN,AUDIT   
INSTNAME,SYSADMIN,AUDIT   
LCLTRANSID,SYSADMIN,AUDIT   
NODENUM,SYSADMIN,AUDIT   
ORIGUSERID,SYSADMIN,AUDIT   
PKGNAME,SYSADMIN,AUDIT   
PKGSCHEMA,SYSADMIN,AUDIT   
PKGSECNUM,SYSADMIN,AUDIT   
PKGVER,SYSADMIN,AUDIT   
ROLEINHERITED,SYSADMIN,AUDIT   
STATUS,SYSADMIN,AUDIT   
TIMESTAMP,SYSADMIN,AUDIT   
TRSTCTXNAME,SYSADMIN,AUDIT   
USERID,SYSADMIN,AUDIT   
APPID,VALIDATE,AUDIT   
APPNAME,VALIDATE,AUDIT   
AUTHID,VALIDATE,AUDIT   
AUTHTYPE,VALIDATE,AUDIT   
CATEGORY,VALIDATE,AUDIT   
CLNTACCSTRING,VALIDATE,AUDIT   
CLNTAPPNAME,VALIDATE,AUDIT   
CLNTUSERID,VALIDATE,AUDIT   
CLNTWRKSTNAME,VALIDATE,AUDIT   
CONTRSTTYPE,VALIDATE,AUDIT   
COORDNUM,VALIDATE,AUDIT   
CORRELATOR,VALIDATE,AUDIT   
DATABASE,VALIDATE,AUDIT   
EVENT,VALIDATE,AUDIT   
EXECID,VALIDATE,AUDIT   
GLBLTRANSID,VALIDATE,AUDIT   
HOSTNAME,VALIDATE,AUDIT   
INSTNAME,VALIDATE,AUDIT   
LCLTRANSID,VALIDATE,AUDIT   
NODENUM,VALIDATE,AUDIT   
ORIGUSERID,VALIDATE,AUDIT   
PKGNAME,VALIDATE,AUDIT   
PKGSCHEMA,VALIDATE,AUDIT   
PKGSECNUM,VALIDATE,AUDIT   
PKGVER,VALIDATE,AUDIT   
PLUGINNAME,VALIDATE,AUDIT   
ROLEINHERITED,VALIDATE,AUDIT   
STATUS,VALIDATE,AUDIT   
TIMESTAMP,VALIDATE,AUDIT   
TRSTCTXNAME,VALIDATE,AUDIT   
USERID,VALIDATE,AUDIT   
NUMRETRY,POLICY,DB2INST1
PASSWORDLENGTH,POLICY,DB2INST1
POLICYNAME,POLICY,DB2INST1
EMAIL,USER_TABLE,DB2INST1
GROUP,USER_TABLE,DB2INST1
IBMID,USER_TABLE,DB2INST1
LOCKED,USER_TABLE,DB2INST1
POLICYNAME,USER_TABLE,DB2INST1
USERNAME,USER_TABLE,DB2INST1
DEPT_ID_DEP,DEPARTMENTS,HJD86406
DEP_NAME,DEPARTMENTS,HJD86406
LOC_ID,DEPARTMENTS,HJD86406
MANAGER_ID,DEPARTMENTS,HJD86406
CITY,HOSPITALS,HJD86406
ID,HOSPITALS,HJD86406
LAT,HOSPITALS,HJD86406
LON,HOSPITALS,HJD86406
NAME,HOSPITALS,HJD86406
STATE,HOSPITALS,HJD86406
JOB_IDENT,JOBS,HJD86406
JOB_TITLE,JOBS,HJD86406
MAX_SALARY,JOBS,HJD86406
MIN_SALARY,JOBS,HJD86406
DEPT_ID,JOB_HISTORY,HJD86406
EMPL_ID,JOB_HISTORY,HJD86406
JOBS_ID,JOB_HISTORY,HJD86406
START_DATE,JOB_HISTORY,HJD86406
DEP_ID_LOC,LOCATIONS,HJD86406
LOCT_ID,LOCATIONS,HJD86406
ATTR_NAME,ATTRIBUTES,SYSCAT  
ATTR_TYPEMODULENAME,ATTRIBUTES,SYSCAT  
ATTR_TYPENAME,ATTRIBUTES,SYSCAT  
ATTR_TYPESCHEMA,ATTRIBUTES,SYSCAT  
CODEPAGE,ATTRIBUTES,SYSCAT  
COLLATIONNAME,ATTRIBUTES,SYSCAT  
COLLATIONSCHEMA,ATTRIBUTES,SYSCAT  
COMPACT,ATTRIBUTES,SYSCAT  
DL_FEATURES,ATTRIBUTES,SYSCAT  
ENVSTRINGUNITS,ATTRIBUTES,SYSCAT  
JAVA_FIELDNAME,ATTRIBUTES,SYSCAT  
LENGTH,ATTRIBUTES,SYSCAT  
LOGGED,ATTRIBUTES,SYSCAT  
ORDINAL,ATTRIBUTES,SYSCAT  
SCALE,ATTRIBUTES,SYSCAT  
SOURCE_TYPEMODULENAME,ATTRIBUTES,SYSCAT  
SOURCE_TYPENAME,ATTRIBUTES,SYSCAT  
SOURCE_TYPESCHEMA,ATTRIBUTES,SYSCAT  
STRINGUNITSLENGTH,ATTRIBUTES,SYSCAT  
TARGET_TYPEMODULENAME,ATTRIBUTES,SYSCAT  
TARGET_TYPENAME,ATTRIBUTES,SYSCAT  
TARGET_TYPESCHEMA,ATTRIBUTES,SYSCAT  
TYPEMODULENAME,ATTRIBUTES,SYSCAT  
TYPENAME,ATTRIBUTES,SYSCAT  
TYPESCHEMA,ATTRIBUTES,SYSCAT  
TYPESTRINGUNITS,ATTRIBUTES,SYSCAT  
ALTER_TIME,AUDITPOLICIES,SYSCAT  
AUDITPOLICYID,AUDITPOLICIES,SYSCAT  
AUDITPOLICYNAME,AUDITPOLICIES,SYSCAT  
AUDITSTATUS,AUDITPOLICIES,SYSCAT  
CHECKINGSTATUS,AUDITPOLICIES,SYSCAT  
CONTEXTSTATUS,AUDITPOLICIES,SYSCAT  
CREATE_TIME,AUDITPOLICIES,SYSCAT  
ERRORTYPE,AUDITPOLICIES,SYSCAT  
EXECUTESTATUS,AUDITPOLICIES,SYSCAT  
EXECUTEWITHDATA,AUDITPOLICIES,SYSCAT  
OBJMAINTSTATUS,AUDITPOLICIES,SYSCAT  
REMARKS,AUDITPOLICIES,SYSCAT  
SECMAINTSTATUS,AUDITPOLICIES,SYSCAT  
SYSADMINSTATUS,AUDITPOLICIES,SYSCAT  
VALIDATESTATUS,AUDITPOLICIES,SYSCAT  
AUDITEXCEPTIONENABLED,AUDITUSE,SYSCAT  
